idelem,utm_x,utm_y,longitud,latitud,idema
3840,441615,4475768,-3.6883232754856,40.4305018691825,3195
3841,441706,4475770,-3.68725610305613,40.4305239406404,3195
3842,441319,4474841,-3.6917268449043,40.4221320929972,3195
3843,441302,4474764,-3.69192878230734,40.4214333442836,3195
3844,441606,4476132,-3.68846965033102,40.4337820578943,3195
3845,441383,4474994,-3.69099128548591,40.4235122547331,3195
3846,440758,4475515,-3.69840321012929,40.4281637727028,3195
3847,441085,4475582,-3.69455644132333,40.4287906721949,3195
3848,441115,4475375,-3.69418654145027,40.426924977219,3195
3849,440913,4475372,-3.69656106746327,40.4268814072712,3195
3850,441255,4475271,-3.69252547121172,40.4260039466159,3195
7029,441401,4475072,-3.69078016561876,40.4242200932479,3195
10034,441294,4474975,-3.69203250238828,40.4233361722719,3195
3851,441475,4475414,-3.68994760550778,40.4273048117337,3195
10036,441135,4475019,-3.69392090223793,40.4237223062949,3195
3562,441594,4475992,-3.68859456595845,40.4325205220297,3195
3854,440920,4475213,-3.69646351117965,40.4254530561641,3195
3855,440811,4475178,-3.6977531922756,40.4251261715913,3195
3852,441455,4475270,-3.69017286011812,40.4260050979408,3195
7026,441405,4475071,-3.69074248190305,40.424210771059,3195
7011,441437,4475217,-3.69037359172057,40.42552784045,3195
7030,441412,4475130,-3.69066453201281,40.4247407578891,3195
7032,441464,4475184,-3.69005690467226,40.4252285841949,3195
3856,443228,4474528,-3.6692020015623,40.4194437232749,3195
3857,443220,4474292,-3.66927431858336,40.4173151329465,3195
3858,443212,4474315,-3.66937623268909,40.4175226308701,3195
3859,443114,4474359,-3.6705342712968,40.4179138650649,3195
3860,443222,4474263,-3.66924937368468,40.417053366339,3195
3861,443143,4474201,-3.67017564469836,40.4164918275874,3195
3862,443196,4473892,-3.66952096952619,40.4137106378472,3195
3864,443169,4473771,-3.66983282251457,40.4126190208272,3195
3865,443173,4473763,-3.6697788959473,40.4125466960086,3195
3866,443092,4473633,-3.67072662430569,40.4113750123116,3195
3867,443144,4473372,-3.67008404835215,40.4090229063809,3195
4191,443156,4473372,-3.66994418768707,40.4090282329257,3195
3868,443176,4473308,-3.66970072999548,40.4084479196954,3195
3869,443149,4473250,-3.67001525473829,40.4079206919529,3195
4192,443138,4473287,-3.67014910996911,40.4082588713038,3195
4193,443322,4473109,-3.66796577755009,40.4066663598498,3195
3870,443322,4473100,-3.66796677493739,40.4065811540916,3195
3871,443225,4472982,-3.66910191795128,40.4055176793072,3195
3872,443030,4472920,-3.67138662227996,40.4049401151625,3195
3873,442960,4473128,-3.67223153180805,40.4068168808879,3195
3874,442959,4473137,-3.67225012184094,40.4068928364419,3195
3875,443399,4474314,-3.66716121793365,40.4175270529398,3195
3876,443404,4474307,-3.66710886124979,40.4174633695798,3195
10983,443132,4473641,-3.67025925573906,40.4114426539658,3195
3563,443514,4474420,-3.66582248894019,40.418489635536,3195
3724,443538,4474394,-3.66553052325625,40.4182560354179,3195
3725,443476,4474358,-3.66626493705795,40.4179263999555,3195
3564,443814,4474740,-3.66231143210601,40.4213917167171,3195
3878,443797,4474705,-3.66251064925266,40.4210783834393,3195
3726,443250,4473639,-3.66885929593868,40.4114339630309,3195
3601,443250,4473632,-3.66886805288672,40.411370961016,3195
10984,443632,4473596,-3.66435540358008,40.4110788929684,3195
3880,443780,4473584,-3.66261608533599,40.4109746466864,3195
3881,443654,4473513,-3.66409515870888,40.41033065808,3195
3602,443595,4473592,-3.66478873994961,40.4110395838851,3195
3603,443199,4474159,-3.66950851839627,40.4161205654423,3195
3882,443203,4473999,-3.66944537991919,40.4146746011953,3195
3883,443183,4473938,-3.66967366560014,40.4141290529476,3195
3884,443181,4473670,-3.66968363390644,40.4117087996568,3195
3885,443159,4473598,-3.66992872182153,40.4110621827942,3195
3886,443166,4473479,-3.66984019831238,40.4099851789427,3195
3887,443906,4474750,-3.66122920186577,40.42149148168,3195
3891,442136,4472901,-3.68192608293403,40.4047158645819,3195
3892,442132,4472893,-3.68197660548277,40.4046406617078,3195
3893,442265,4472945,-3.68041242054745,40.4051137262048,3195
3894,442295,4472817,-3.68003856144582,40.4039657074876,3195
